BIB,fullname,gender,WS_1,WS_2,WS_3,Finish,time,pos,Gander Rank,Status
97,AKHMAD NIZAR,MALE,6:33:48,6:45:04,7:25:21,8:16:02,2:16:02,1,1,FINISH
13,ILHAM SULIONO,MALE,6:33:56,6:47:36,7:27:57,8:17:39,2:17:39,2,2,FINISH
88,WILDAN YUSUF F,MALE,6:30:02,7:00:45,7:31:36,8:22:10,2:22:10,3,3,FINISH
100,ABDUL AZIZ,MALE,6:36:19,7:01:13,7:45:26,8:34:10,2:34:10,4,4,FINISH
26,FAIZ BAIHAQI,MALE,6:40:23,7:10:46,7:47:12,8:47:38,2:47:38,5,5,FINISH
35,ADI ARIMAWAN,MALE,6:37:36,7:04:17,7:46:52,8:53:20,2:53:20,6,6,FINISH
50,DAVINO ADI N,MALE,6:41:07,7:11:49,7:50:12,8:57:35,2:57:35,7,7,FINISH
89,AZARINE PUTRI,FEMALE,6:40:23,7:11:12,8:12:26,8:59:49,2:59:49,8,1,FINISH
69,DAVA WARDANAWAN,MALE,6:40:36,7:11:43,7:48:13,8:59:52,2:59:52,9,8,FINISH
77,SYAHRUL QIROM,MALE,6:44:34,7:14:06,7:48:58,9:00:01,3:00:01,10,9,FINISH
49,SANTOSO,MALE,6:40:53,7:11:19,7:47:36,9:02:00,3:02:00,11,10,FINISH
16,HAFIIS YASIN F,MALE,6:42:36,7:13:09,7:49:02,9:05:57,3:05:57,12,11,FINISH
81,MUHAMMAD AGUS S,MALE,6:47:57,7:18:47,7:50:00,9:04:58,3:04:58,13,12,FINISH
1,PURNOMO,MALE,6:43:11,7:16:43,7:53:07,9:19:24,3:19:24,14,13,FINISH
37,AGUS PRASETYO,MALE,6:43:08,7:14:45,7:54:11,9:27:04,3:27:04,15,14,FINISH
14,ADI YUWONO KJ,MALE,6:42:31,7:12:05,7:53:46,9:28:00,3:28:00,16,15,FINISH
20,PENI NUGRAHA,FEMALE,6:47:45,7:20:13,8:17:07,9:29:00,3:29:00,17,2,FINISH
36,RIZKI YUSUF H,MALE,6:47:49,7:20:16,7:56:18,9:29:15,3:29:15,18,16,FINISH
6,ELMI RAHMIYATI,FEMALE,6:44:26,7:17:35,7:59:48,9:29:45,3:29:45,19,3,FINISH
31,MUHAMMAD SURYA,MALE,6:48:33,7:21:42,8:13:59,9:30:19,3:30:19,20,17,FINISH
66,AVI ASHLIHI S,FEMALE,6:46:39,7:19:21,8:20:14,9:30:46,3:30:46,21,4,FINISH
7,FERI SULISTIONO,MALE,6:47:37,7:21:38,8:18:38,9:33:00,3:33:00,22,18,FINISH
63,DANIEL ROY M,MALE,6:47:40,7:20:28,8:20:27,9:34:05,3:34:05,23,19,FINISH
62,JONI HASTO S,MALE,6:46:50,7:20:02,8:16:15,9:40:23,3:40:23,24,20,FINISH
27,DANI WAHYU P,MALE,6:51:53,7:30:46,8:33:29,9:45:20,3:45:20,25,21,FINISH
67,IDA MAHARANI,FEMALE,6:50:33,7:27:04,8:29:37,9:46:30,3:46:30,26,5,FINISH
25,ENDAH PURWATININGTYAS,FEMALE,6:50:32,7:26:16,8:31:00,9:46:35,3:46:35,27,6,FINISH
15,LUKMAN SAJI S,MALE,6:50:31,7:25:32,8:32:44,9:46:37,3:46:37,28,22,FINISH
65,SATRYA MYOSHI,MALE,6:50:32,7:25:26,8:26:21,9:47:23,3:47:23,29,23,FINISH
76,MOHAMMAD NAIM,MALE,6:46:30,7:18:34,8:31:45,9:47:53,3:47:53,30,24,FINISH
59,YUDHA RICKY S,MALE,6:49:34,7:27:12,8:43:18,9:59:59,3:59:59,31,25,FINISH
60,NAUFAL ADITYA,MALE,6:49:36,7:27:13,8:43:12,9:59:59,3:59:59,32,26,FINISH
4,ARIEF BUDIANTO,MALE,6:51:45,7:29:45,8:42:30,10:01:10,4:01:10,33,27,FINISH
33,EKO CAHYONO,MALE,7:00:41,7:26:20,8:42:49,10:03:39,4:03:39,34,28,FINISH
91,SUMANTRI,MALE,6:51:39,7:27:36,8:39:13,10:07:32,4:07:32,35,29,FINISH
21,ITA WIDIATI,FEMALE,6:59:55,7:38:34,8:54:03,10:08:13,4:08:13,36,7,FINISH
34,MOHAN AYUSTA,MALE,6:54:40,7:32:47,8:45:12,10:10:30,4:10:30,37,30,FINISH
41,JOENI YUNIARTO,MALE,6:53:59,7:31:12,8:45:29,10:10:51,4:10:51,38,31,FINISH
32,AGUNG SETYA N,MALE,6:49:40,7:27:20,8:44:21,10:13:22,4:13:22,39,32,FINISH
51,JHONIE SUSANTO,MALE,6:53:33,7:32:53,8:53:46,10:14:59,4:14:59,40,33,FINISH
12,CHAN,MALE,6:51:41,7:29:40,8:51:15,10:14:40,4:14:40,41,34,FINISH
45,NIKI DIGO G,MALE,7:00:28,7:43:57,9:12:05,10:14:55,4:14:55,42,35,FINISH
52,WEMPY,MALE,6:53:47,7:32:49,8:53:46,10:15:10,4:15:10,43,36,FINISH
53,WILLYSON TIORONTO,MALE,6:53:54,7:32:53,8:53:49,10:15:56,4:15:56,44,37,FINISH
55,AGUS SULISTIO,MALE,6:53:59,7:32:56,8:53:49,10:15:58,4:15:58,45,38,FINISH
24,RENDI ACHMAT F,MALE,6:42:18,7:14:34,8:57:25,10:20:20,4:20:20,46,39,FINISH
83,EVA DWI S,FEMALE,6:52:27,7:30:31,8:54:15,10:22:47,4:22:47,47,8,FINISH
57,SUJOKO SUGIJO,MALE,6:57:46,7:36:33,8:56:16,10:27:04,4:27:04,48,40,FINISH
22,LUTHFIA RACHMI,FEMALE,6:57:54,7:40:35,8:55:23,10:34:28,4:34:28,49,9,FINISH
86,MOCHAMAD RIZQON K,MALE,6:52:14,7:30:14,8:56:43,10:34:30,4:34:30,50,41,FINISH
54,RICKY TANOKO,MALE,6:59:45,7:39:54,8:59:22,10:36:00,4:36:00,51,42,FINISH
93,EKA LAZARUS,MALE,6:53:59,7:38:17,8:59:34,10:36:12,4:36:12,52,43,FINISH
90,ALFIYAN,MALE,6:55:20,7:36:45,9:00:05,10:40:23,4:40:23,53,44,FINISH
73,FAUZY NASRUDDIN,MALE,6:54:37,7:43:50,9:01:46,10:40:30,4:40:30,54,45,FINISH
79,SYAMSUL AFFAN,MALE,6:59:28,7:38:50,9:12:12,10:41:59,4:41:59,55,46,FINISH
84,IKMAN PUTRA,MALE,6:54:56,7:33:48,9:15:37,10:49:23,4:49:23,56,47,FINISH
85,YOGA WICAKSONO,MALE,6:59:19,7:39:35,9:16:14,10:50:49,4:50:49,57,48,FINISH
38,M HENDI S,MALE,6:59:21,7:38:46,9:12:25,10:53:25,4:53:25,58,49,FINISH
80,MOCH ANSORI,MALE,6:59:23,7:38:48,9:12:35,10:53:40,4:53:40,59,50,FINISH
